Time,GMSL
03-1903,-115
04-1903,-110.3
05-1903,-109.8
06-1903,-110.6
07-1903,-116.2
08-1903,-119.5
09-1903,-123.6
10-1903,-120.6
11-1903,-124.2
12-1903,-121.5
01-1904,-125.9
02-1904,-118.2
03-1904,-122.9
04-1904,-123.3
05-1904,-128.3
06-1904,-126.6
07-1904,-130.2
08-1904,-131.2
09-1904,-132.6
10-1904,-131.6
11-1904,-132.3
12-1904,-134.8
01-1905,-138
02-1905,-140.1
03-1905,-139.6
04-1905,-138.1
05-1905,-136
06-1905,-134.4
07-1905,-132
08-1905,-128.1
09-1905,-125.4
10-1905,-127.6
11-1905,-130.7
12-1905,-134.8
01-1906,-131.8
02-1906,-129.5
03-1906,-128.1
04-1906,-128.9
05-1906,-125.5
06-1906,-124.1
07-1906,-122.3
08-1906,-125.4
09-1906,-124.9
10-1906,-125.7
11-1906,-127.6
12-1906,-128.8
01-1907,-129.5
02-1907,-126.4
03-1907,-125.2
04-1907,-122.8
05-1907,-125.1
06-1907,-123.2
07-1907,-126.4
08-1907,-123.8
09-1907,-131.7
10-1907,-133.1
11-1907,-137.6
12-1907,-134.5
01-1908,-131.1
02-1908,-129.1
03-1908,-129.2
04-1908,-131.4
05-1908,-132.5
06-1908,-127.9
07-1908,-127.3
08-1908,-124.9
09-1908,-130.1
10-1908,-134.3
11-1908,-136.3
12-1908,-135.4
01-1909,-127.7
02-1909,-125.1
03-1909,-120.6
04-1909,-123.4
05-1909,-126.2
06-1909,-130.8
07-1909,-129
08-1909,-129.8
09-1909,-126.3
10-1909,-126.4
11-1909,-124.5
12-1909,-125.9
01-1910,-127.3
02-1910,-130.6
03-1910,-129.9
04-1910,-129.5
05-1910,-124.7
06-1910,-124
07-1910,-121.8
08-1910,-124.4
09-1910,-124.4
10-1910,-126.4
11-1910,-126.6
12-1910,-127.4
01-1911,-127.4
02-1911,-123.9
03-1911,-121.1
04-1911,-120.6
05-1911,-121.8
06-1911,-121.2
07-1911,-120.1
08-1911,-114.1
09-1911,-111.2
10-1911,-108.1
11-1911,-112.7
12-1911,-114.5
01-1912,-121.9
02-1912,-123.7
03-1912,-127.2
04-1912,-127.1
05-1912,-126
06-1912,-120.7
07-1912,-119.9
08-1912,-118.6
09-1912,-119.1
10-1912,-118.7
11-1912,-116.7
12-1912,-114.4
01-1913,-119.8
02-1913,-123.2
03-1913,-128.2
04-1913,-127.7
05-1913,-126
06-1913,-120.7
07-1913,-117.2
08-1913,-114.3
09-1913,-114
10-1913,-114.8
11-1913,-110.8
12-1913,-116
01-1914,-110.9
02-1914,-117
03-1914,-115.3
04-1914,-118.1
05-1914,-116.8
06-1914,-119.9
07-1914,-119.7
08-1914,-122.5
09-1914,-117
10-1914,-111.8
11-1914,-99
12-1914,-88.6
01-1915,-83.7
02-1915,-85.2
03-1915,-93.1
04-1915,-102.3
05-1915,-108.5
06-1915,-111.1
07-1915,-113.6
08-1915,-114.4
09-1915,-115.4
10-1915,-115.2
11-1915,-109.7
12-1915,-110
01-1916,-103.7
02-1916,-106.3
03-1916,-101.1
04-1916,-104.1
05-1916,-102.8
06-1916,-108
07-1916,-111.7
08-1916,-115.9
09-1916,-113.6
10-1916,-111.7
11-1916,-103.8
12-1916,-102.7
01-1917,-102.8
02-1917,-109.1
03-1917,-112.4
04-1917,-115.9
05-1917,-115.1
06-1917,-113.9
07-1917,-110.1
08-1917,-110.7
09-1917,-111.5
10-1917,-113.1
11-1917,-113.7
12-1917,-111.3
01-1918,-109.7
02-1918,-113.5
03-1918,-115.2
04-1918,-117.1
05-1918,-114.6
06-1918,-112.7
